Region_Code,Region_Name,Station_Name,Station_Local_Name,Display_Name,EPW_File,Latitude,Longitude,Altitude,HDD_base20,CDD_base26,HDD_degree_hours,CDD_degree_hours
TC,Tuscany,Firenze-Peretola,Firenze-Peretola.AP,ITA_TC_Firenze-Peretola.Tuscany,ITA_TC_Firenze-Peretola.AP.161700_TMYx.2011-2025.epw,43.8086,11.2028,38.0,2257.125,204.3125,54171.0,4903.5
TC,Tuscany,Grosseto,Grosseto.AP,ITA_TC_Grosseto.Tuscany,ITA_TC_Grosseto.AP.162060_TMYx.2011-2025.epw,42.7481,11.0589,7.0,1761.9375,148.49166666666667,42286.5,3563.8
TC,Tuscany,Isola,Isola.Gorgona,ITA_TC_Isola.Tuscany,ITA_TC_Isola.Gorgona.161540_TMYx.2011-2025.epw,43.4281,9.8942,259.0,1317.2708333333333,18.020833333333332,31614.5,432.5
TC,Tuscany,Pisa-Galileo,Pisa-Galileo.Galilei.AP,ITA_TC_Pisa-Galileo.Tuscany,ITA_TC_Pisa-Galileo.Galilei.AP.161580_TMYx.2011-2025.epw,43.6825,10.3956,6.1,1936.5416666666667,80.03750000000001,46477.0,1920.9
TC,Tuscany,Radicofani,Radicofani,ITA_TC_Radicofani.Tuscany,ITA_TC_Radicofani.162040_TMYx.2011-2025.epw,42.8961,11.7678,828.0,2631.183333333333,41.25416666666667,63148.399999999994,990.1
TT,Trentino-Alto Adige,Bolzano,Bolzano.AP,ITA_TT_Bolzano.Trentino-Alto Adige,ITA_TT_Bolzano.AP.160200_TMYx.2011-2025.epw,46.4603,11.3264,241.0,3746.566666666667,22.40416666666667,89917.6,537.7
TT,Trentino-Alto Adige,Brennero,Brennero.Pass,ITA_TT_Brennero.Trentino-Alto Adige,ITA_TT_Brennero.Pass.111290_TMYx.2011-2025.epw,47.0018,11.5061,1394.0,5902.8875,0.16249999999999995,141669.3,3.8999999999999986
TT,Trentino-Alto Adige,Dobbiaco,Dobbiaco,ITA_TT_Dobbiaco.Trentino-Alto Adige,ITA_TT_Dobbiaco.160330_TMYx.2011-2025.epw,46.733,12.217,1226.0,5627.604166666667,1.0708333333333333,135062.5,25.7
TT,Trentino-Alto Adige,Paganella,Paganella.Mtn,ITA_TT_Paganella.Trentino-Alto Adige,ITA_TT_Paganella.Mtn.160220_TMYx.2011-2025.epw,46.1417,11.0363,2129.0,4445.966666666666,0.3458333333333335,106703.2,8.300000000000004
TT,Trentino-Alto Adige,Reschen,Reschen.Pass,ITA_TT_Reschen.Trentino-Alto Adige,ITA_TT_Reschen.Pass.160083_TMYx.2011-2025.epw,46.833,10.5,1800.0,5981.666666666667,0.041666666666666664,143560.0,1.0
TT,Trentino-Alto Adige,Rolle,Rolle.Pass,ITA_TT_Rolle.Trentino-Alto Adige,ITA_TT_Rolle.Pass.160210_TMYx.2011-2025.epw,46.2978,11.7867,2006.0,5389.354166666667,0.0,129344.5,0.0
TT,Trentino-Alto Adige,San,San.Valentino.Alla.Muta,ITA_TT_San.Trentino-Alto Adige,ITA_TT_San.Valentino.Alla.Muta.160080_TMYx.2011-2025.epw,46.7619,10.5344,1461.0,5975.608333333334,0.04999999999999997,143414.6,1.1999999999999993
TT,Trentino-Alto Adige,Trento,Trento.AP,ITA_TT_Trento.Trentino-Alto Adige,ITA_TT_Trento.AP.160230_TMYx.2011-2025.epw,46.0203,11.1267,190.0,3826.9833333333336,4.000000000000001,91847.6,96.00000000000001
TT,Trentino-Alto Adige,Vipiteno,Vipiteno,ITA_TT_Vipiteno.Trentino-Alto Adige,ITA_TT_Vipiteno.160140_TMYx.2011-2025.epw,46.8839,11.44,922.0,5605.608333333334,0.04999999999999997,134534.6,1.1999999999999993
UM,Umbria,Umbria-Perugia-d-Assisi,Umbria-Perugia-d-Assisi.AP,ITA_UM_Umbria-Perugia-d-Assisi.Umbria,ITA_UM_Umbria-Perugia-d-Assisi.AP.161810_TMYx.2011-2025.epw,43.0972,12.5103,204.0,2497.6375,155.6875,59943.299999999996,3736.5
VD,Valle d'Aosta,Aosta,Aosta.AP,ITA_VD_Aosta.Valle d'Aosta,ITA_VD_Aosta.AP.160540_TMYx.2011-2025.epw,45.7347,7.3506,552.0,5678.495833333333,0.0,136283.9,0.0
VD,Valle d'Aosta,Novara-Cameri,Novara-Cameri.AB,ITA_VD_Novara-Cameri.Valle d'Aosta,ITA_VD_Novara-Cameri.AB.160640_TMYx.2011-2025.epw,45.53,8.6667,175.0,2588.583333333333,101.67083333333333,62125.99999999999,2440.1
VD,Valle d'Aosta,Pian,Pian.Rosa.Mtn,ITA_VD_Pian.Valle d'Aosta,ITA_VD_Pian.Rosa.Mtn.160520_TMYx.2011-2025.epw,45.935,7.7061,3488.0,7425.825000000001,0.0,178219.80000000002,0.0
VN,Veneto,Concordia,Concordia.Sagittaria,ITA_VN_Concordia.Veneto,ITA_VN_Concordia.Sagittaria.161070_TMYx.2011-2025.epw,45.7611,12.8569,3.0,2401.004166666667,84.39999999999999,57624.100000000006,2025.6
VN,Veneto,Istrana,Istrana.AB,ITA_VN_Istrana.Veneto,ITA_VN_Istrana.AB.160980_TMYx.2011-2025.epw,45.685,12.083,42.0,2494.7958333333336,132.32916666666668,59875.100000000006,3175.9
VN,Veneto,Padova,Padova.AP,ITA_VN_Padova.Veneto,ITA_VN_Padova.AP.160950_TMYx.2011-2025.epw,45.4,11.85,14.0,2365.558333333333,136.56666666666663,56773.399999999994,3277.5999999999995
VN,Veneto,Treviso,Treviso.AP,ITA_VN_Treviso.Veneto,ITA_VN_Treviso.AP.160990_TMYx.2011-2025.epw,45.65,12.1833,23.0,2428.1583333333333,117.22500000000001,58275.8,2813.4
VN,Veneto,Venezia-Lido,Venezia-Lido.AF,ITA_VN_Venezia-Lido.Veneto,ITA_VN_Venezia-Lido.AF.161010_TMYx.2011-2025.epw,45.4275,12.3842,6.0,2195.4791666666665,49.012499999999996,52691.5,1176.3
VN,Veneto,Venezia-Polo,Venezia-Polo.AP,ITA_VN_Venezia-Polo.Veneto,ITA_VN_Venezia-Polo.AP.161050_TMYx.2011-2025.epw,45.5053,12.3519,6.0,2257.8791666666666,71.88333333333334,54189.1,1725.2
VN,Veneto,Verona,Verona.Catullo.AP,ITA_VN_Verona.Veneto,ITA_VN_Verona.Catullo.AP.160900_TMYx.2011-2025.epw,45.396,10.889,72.8,2465.35,142.6208333333333,59168.4,3422.8999999999996
